t(ticks) ; id_viat ; destin ; t_estacion ;  t_vida  ; observ
7268611  ; 14437   ; S      ; 10         ; ?        ; cheio
7269041  ; 14441   ; N      ; 50         ; ?        ; cheio
7267617  ; 14439   ; N      ; 70         ; ?        ; cheio
7271199  ; 14430   ; S      ; 10         ; 43881    ; saiu
7273441  ; 14456   ; E      ; 90         ; ?        ; entrou
7274635  ; 14434   ; S      ; 60         ; ?        ; cheio
7276441  ; 14438   ; S      ; 100        ; ?        ; entrou
7275803  ; 14456   ; E      ; 90         ; 14636    ; saiu
7277155  ; 14442   ; S      ; 40         ; ?        ; cheio
7278746  ; 14460   ; O      ; 40         ; ?        ; cheio
7280113  ; 14445   ; O      ; 40         ; ?        ; cheio
7280785  ; 14436   ; E      ; 40         ; ?        ; cheio
7281448  ; 14433   ; O      ; 70         ; ?        ; entrou
7282751  ; 14461   ; O      ; 40         ; ?        ; entrou
7283323  ; 14462   ; N      ; 90         ; ?        ; cheio
7282270  ; 14440   ; O      ; 90         ; ?        ; cheio
7278930  ; 14438   ; S      ; 100        ; 40477    ; saiu
7283276  ; 14433   ; O      ; 70         ; 44641    ; saiu
7285896  ; 14464   ; O      ; 10         ; ?        ; entrou
7285263  ; 14461   ; O      ; 40         ; 17265    ; saiu
7288352  ; 14464   ; O      ; 10         ; 16271    ; saiu
7294995  ; 14471   ; E      ; 80         ; ?        ; entrou
7295363  ; 14463   ; E      ; 60         ; ?        ; cheio
7297782  ; 14471   ; E      ; 80         ; 11763    ; saiu
7299222  ; 14474   ; N      ; 60         ; ?        ; cheio
7299183  ; 14454   ; O      ; 30         ; ?        ; entrou
7301064  ; 14454   ; O      ; 30         ; 22030    ; saiu
7303619  ; 14466   ; E      ; 50         ; ?        ; entrou
7314941  ; 14466   ; E      ; 50         ; 41921    ; saiu
7333404  ; 14478   ; E      ; 20         ; ?        ; entrou
7333789  ; 14469   ; E      ; 70         ; ?        ; entrou
7334021  ; 14468   ; O      ; 20         ; ?        ; cheio
7335838  ; 14482   ; N      ; 30         ; ?        ; entrou
7335013  ; 14478   ; E      ; 20         ; 43129    ; saiu
7337738  ; 14476   ; S      ; 100        ; ?        ; entrou
7336956  ; 14482   ; N      ; 30         ; 39884    ; saiu
7338868  ; 14476   ; S      ; 100        ; 48690    ; saiu
7343055  ; 14479   ; E      ; 80         ; ?        ; entrou
7335865  ; 14469   ; E      ; 70         ; 43334    ; saiu
7345328  ; 14467   ; E      ; 10         ; ?        ; entrou
7346194  ; 14467   ; E      ; 10         ; 55462    ; saiu
7347219  ; 14472   ; E      ; 80         ; ?        ; cheio
7349179  ; 14470   ; E      ; 20         ; ?        ; entrou
7344327  ; 14479   ; E      ; 80         ; 46303    ; saiu
7351537  ; 14465   ; S      ; 100        ; ?        ; entrou
7353941  ; 14465   ; S      ; 100        ; 64527    ; saiu
7353825  ; 14470   ; E      ; 20         ; 59351    ; saiu
7367673  ; 14485   ; N      ; 70         ; ?        ; entrou
7368690  ; 14485   ; N      ; 70         ; 66260    ; saiu
7375331  ; 14473   ; E      ; 70         ; ?        ; entrou
7376178  ; 14473   ; E      ; 70         ; 72244    ; saiu
7378943  ; 14481   ; E      ; 20         ; ?        ; cheio
7378092  ; 14483   ; N      ; 100        ; ?        ; cheio
7381115  ; 14477   ; O      ; 50         ; ?        ; entrou
7382100  ; 14477   ; O      ; 50         ; 77212    ; saiu
7385354  ; 14484   ; O      ; 50         ; ?        ; entrou
7385888  ; 14487   ; N      ; 90         ; ?        ; cheio
7387467  ; 14488   ; O      ; 80         ; ?        ; cheio
7390152  ; 14484   ; O      ; 50         ; 84503    ; saiu
7395611  ; 14489   ; O      ; 70         ; ?        ; entrou
7397151  ; 14490   ; S      ; 40         ; ?        ; entrou
7397481  ; 14475   ; S      ; 30         ; ?        ; cheio
7398737  ; 14490   ; S      ; 40         ; 90588    ; saiu
7400333  ; 14495   ; S      ; 20         ; ?        ; entrou
7397410  ; 14489   ; O      ; 70         ; 93081    ; saiu
7403629  ; 14495   ; S      ; 20         ; 91852    ; saiu
7405679  ; 14491   ; O      ; 40         ; ?        ; entrou
7407327  ; 14491   ; O      ; 40         ; 98094    ; saiu
7411574  ; 14492   ; N      ; 20         ; ?        ; entrou
7412983  ; 14500   ; S      ; 60         ; ?        ; cheio
7414404  ; 14498   ; O      ; 40         ; ?        ; cheio
7416775  ; 14493   ; O      ; 40         ; ?        ; cheio
7412942  ; 14497   ; E      ; 50         ; ?        ; cheio
7418464  ; 14496   ; E      ; 50         ; ?        ; cheio
7421775  ; 14502   ; E      ; 90         ; ?        ; cheio
7422928  ; 14501   ; E      ; 70         ; ?        ; cheio
7423761  ; 14492   ; N      ; 20         ; 114305   ; saiu
7431929  ; 14535   ; E      ; 20         ; ?        ; cheio
7431709  ; 14499   ; O      ; 50         ; ?        ; entrou
7433783  ; 14589   ; E      ; 10         ; ?        ; cheio
7433521  ; 14499   ; O      ; 50         ; 110851   ; saiu
7437190  ; 14571   ; O      ; 30         ; ?        ; cheio
7437219  ; 14575   ; E      ; 50         ; ?        ; entrou
7439055  ; 14575   ; E      ; 50         ; 46876    ; saiu
7440013  ; 14586   ; N      ; 90         ; ?        ; cheio
7444764  ; 14581   ; S      ; 50         ; ?        ; cheio
7444764  ; 14582   ; S      ; 70         ; ?        ; entrou
7446680  ; 14582   ; S      ; 70         ; 40465    ; saiu
7453366  ; 14600   ; N      ; 100        ; ?        ; entrou
7454120  ; 14605   ; S      ; 30         ; ?        ; cheio
7455869  ; 14604   ; O      ; 40         ; ?        ; cheio
7458694  ; 14603   ; O      ; 30         ; ?        ; cheio
7460653  ; 14606   ; O      ; 40         ; ?        ; cheio
7460650  ; 14601   ; N      ; 90         ; ?        ; cheio
7462898  ; 14600   ; N      ; 100        ; 30128    ; saiu
7467873  ; 14609   ; S      ; 40         ; ?        ; entrou
7469183  ; 14625   ; N      ; 50         ; ?        ; entrou
7468763  ; 14609   ; S      ; 40         ; 24710    ; saiu
7470233  ; 14625   ; N      ; 50         ; 6243     ; saiu
7470822  ; 14622   ; S      ; 70         ; ?        ; entrou
7471568  ; 14622   ; S      ; 70         ; 14447    ; saiu
7473507  ; 14613   ; S      ; 60         ; ?        ; entrou
7473872  ; 14626   ; N      ; 100        ; ?        ; cheio
7475122  ; 14623   ; O      ; 100        ; ?        ; cheio
7476229  ; 14613   ; S      ; 60         ; 29166    ; saiu
7477581  ; 14627   ; N      ; 60         ; ?        ; entrou
7481352  ; 14621   ; E      ; 40         ; ?        ; cheio
7484500  ; 14632   ; E      ; 100        ; ?        ; cheio
7482421  ; 14631   ; E      ; 100        ; ?        ; entrou
7485861  ; 14631   ; E      ; 100        ; 11625    ; saiu
7491444  ; 14633   ; S      ; 90         ; ?        ; entrou
7491764  ; 14635   ; O      ; 30         ; ?        ; cheio
7488004  ; 14627   ; N      ; 60         ; 23565    ; saiu
7494232  ; 14633   ; S      ; 90         ; 15972    ; saiu
7502185  ; 14637   ; O      ; 70         ; ?        ; entrou
7503185  ; 14638   ; O      ; 60         ; ?        ; cheio
7504224  ; 14637   ; O      ; 70         ; 16307    ; saiu
7506372  ; 14639   ; N      ; 20         ; ?        ; entrou
7507582  ; 14639   ; N      ; 20         ; 18217    ; saiu
7519200  ; 14636   ; N      ; 30         ; ?        ; entrou
7523085  ; 14661   ; S      ; 80         ; ?        ; entrou
7523390  ; 14629   ; S      ; 30         ; ?        ; entrou
7523085  ; 14636   ; N      ; 30         ; 27705    ; saiu
7524334  ; 14634   ; E      ; 70         ; ?        ; entrou
7525792  ; 14630   ; N      ; 20         ; ?        ; entrou
7525790  ; 14634   ; E      ; 70         ; 35319    ; saiu
7524332  ; 14661   ; S      ; 80         ; 11182    ; saiu
7527158  ; 14629   ; S      ; 30         ; 29740    ; saiu
7527160  ; 14630   ; N      ; 20         ; 33142    ; saiu
7535553  ; 14642   ; N      ; 20         ; ?        ; entrou
7535714  ; 14643   ; S      ; 90         ; ?        ; cheio
7536799  ; 14628   ; O      ; 80         ; ?        ; cheio
7536729  ; 14642   ; N      ; 20         ; 38549    ; saiu
7551894  ; 14663   ; O      ; 100        ; ?        ; entrou
7554469  ; 14664   ; O      ; 10         ; ?        ; entrou
7553158  ; 14663   ; O      ; 100        ; 24402    ; saiu
7556450  ; 14664   ; O      ; 10         ; 26344    ; saiu
7558482  ; 14667   ; N      ; 10         ; ?        ; entrou
7560678  ; 14665   ; S      ; 30         ; ?        ; entrou
7564057  ; 14688   ; S      ; 100        ; ?        ; entrou
7562446  ; 14665   ; S      ; 30         ; 33367    ; saiu
7562447  ; 14667   ; N      ; 10         ; 32370    ; saiu
7565813  ; 14668   ; O      ; 20         ; ?        ; cheio
7566576  ; 14688   ; S      ; 100        ; 12863    ; saiu
7569767  ; 14689   ; O      ; 40         ; ?        ; entrou
7570727  ; 14689   ; O      ; 40         ; 14128    ; saiu
7572195  ; 14666   ; O      ; 60         ; ?        ; entrou
7572781  ; 14641   ; E      ; 10         ; ?        ; cheio
7572782  ; 14673   ; S      ; 70         ; ?        ; cheio
7573474  ; 14666   ; O      ; 60         ; 41282    ; saiu
7582898  ; 14709   ; S      ; 60         ; ?        ; entrou
7585271  ; 14710   ; E      ; 60         ; ?        ; entrou
7585095  ; 14709   ; S      ; 60         ; 9848     ; saiu
7588653  ; 14707   ; E      ; 10         ; ?        ; entrou
7589952  ; 14710   ; E      ; 60         ; 11969    ; saiu
7589954  ; 14707   ; E      ; 10         ; 13604    ; saiu
7591085  ; 14672   ; O      ; 20         ; ?        ; entrou
7592159  ; 14711   ; O      ; 10         ; ?        ; entrou
7592542  ; 14672   ; O      ; 20         ; 54824    ; saiu
7593967  ; 14692   ; O      ; 100        ; ?        ; entrou
7595617  ; 14692   ; O      ; 100        ; 29197    ; saiu
7593881  ; 14711   ; O      ; 10         ; 16859    ; saiu
7597439  ; 14691   ; E      ; 60         ; ?        ; entrou
